State,Latitude,Longitude,Total reported direct emissions
ID,43.15,-115.67,209390.824
KY,38.13,-84.99,35142.95
NJ,40.84,-74.02,737328.568
MA,42.05,-72.65,307982.708
AK,60.79,-161.79,31090.698
NY,42.59,-73.76,1965496.616
PA,40.62,-75.30,57166.996
PA,40.62,-75.31,1518360.26
NY,40.75,-73.50,346595.664
MS,32.36,-89.13,45743.828
FL,27.79,-82.40,2829093.078
LA,30.67,-91.35,50299.964
LA,30.73,-91.37,2952195.678
WI,45.05,-91.98,78760.704
AR,35.70,-90.04,527965.852
KY,38.17,-82.62,307172.012
WV,38.34,-82.59,175835.044
TX,32.27,-101.41,256012.016
SD,45.30,-96.51,1891427.442
CA,37.04,-120.97,40426.75
IL,40.68,-89.61,358328
VA,38.27,-77.31,95851.676
PA,40.27,-75.80,1251358.412
MN,44.81,-93.25,840228.736
WV,37.96,-81.54,37425
NV,36.22,-114.88,370494.604
AZ,35.04,-114.16,71299.436
TX,35.70,-101.36,947990.372
MA,42.06,-71.52,927125.164
TX,33.60,-95.34,67707.5
WI,43.08,-89.37,9806.616
KY,37.27,-83.24,23949.25
MN,44.79,-93.43,101579.824
PA,39.97,-77.56,54351.4
NC,35.54,-82.84,942651.274
VA,37.76,-79.37,45802.35
CO,39.74,-104.68,148962.004
KY,38.39,-85.41,112105.63
NM,36.72,-108.22,133516.256
CA,33.62,-114.69,884770.62
WA,47.92,-122.27,67480.496
MO,38.74,-90.34,30151.136
LA,31.46,-93.46,29348.56
LA,30.78,-92.68,29158.014
UT,40.09,-109.28,2982541.866
CO,37.05,-107.87,36838.5
GA,33.38,-84.82,22469.214
TN,36.27,-85.96,33126.376
IA,42.03,-93.92,43433.5
TN,36.18,-86.84,59081
TX,35.67,-101.43,188242.656
TX,35.67,-101.44,249408.856
NV,36.04,-115.00,27805.196
TX,31.86,-97.36,1563599.856
TX,29.71,-95.07,38838.504
MA,42.35,-71.12,47622.052
MN,47.26,-93.65,5325017.382
WA,47.70,-117.15,34395.92
GA,34.13,-84.92,9496075.666
NY,41.20,-73.97,552104.972
PA,41.78,-76.63,55927.7
LA,31.40,-92.72,6186680.042
MD,39.18,-76.54,2604664.052
FL,30.32,-81.95,1818357.002
MD,38.67,-76.87,323415.4
TX,29.47,-95.62,1098331.228
NY,40.79,-73.29,36148.816
CT,41.17,-73.18,860020.004
CT,41.17,-73.18,1553907.154
SC,33.62,-81.85,35454.316
